away_team,home_team,Delta (ERA),Delta (RBI),Delta (SLG),Delta (AVG),home_team_win
Boston Red Sox,New York Yankees,0.16,-189,-0.056,-0.03,0
Cleveland Indians,Minnesota Twins,1.24,-43,-0.009,-0.011,1
Kansas City Royals,Detroit Tigers,0.03,79,0.038,0.006,0
Milwaukee Brewers,Cincinnati Reds,0.83,37,0.001,0.012,0
Texas Rangers,Chicago Cubs,-1.22,21,-0.004,-0.006,1
Cleveland Indians,Kansas City Royals,0.37,-93,-0.03,-0.001,0
Atlanta Braves,Colorado Rockies,0.4,190,0.073,0.02,1
Arizona Diamondbacks,Cincinnati Reds,-0.18,-31,-0.024,-0.005,0
Detroit Tigers,Chicago White Sox,-0.14,-63,-0.028,-0.01,1
Minnesota Twins,Boston Red Sox,-1.08,146,0.04,0.031,1
Cleveland Indians,Baltimore Orioles,0.38,-23,0.013,-0.006,1
San Diego Padres,Washington Nationals,-0.92,81,0.036,0.021,1
Seattle Mariners,Toronto Blue Jays,-0.22,-7,-0.004,-0.011,0
Los Angeles Dodgers,St. Louis Cardinals,0.38,65,0.033,0.006,0
Philadelphia Phillies,Pittsburgh Pirates,-0.42,122,0.018,0.017,1
Tampa Bay Rays,Oakland Athletics,0.31,-13,-0.031,0.003,1
San Francisco Giants,New York Yankees,0.51,-28,0.007,-0.006,0
Chicago Cubs,Milwaukee Brewers,0.93,-126,-0.022,-0.012,1
St. Louis Cardinals,New York Mets,-0.51,-96,-0.025,-0.009,0
Washington Nationals,San Francisco Giants,0.14,-60,-0.028,0.002,1
Cincinnati Reds,San Diego Padres,-0.48,-24,-0.018,-0.021,1
Colorado Rockies,New York Mets,-1.34,-156,-0.04,-0.029,0
Chicago White Sox,Minnesota Twins,0.98,34,0.011,-0.006,0
Pittsburgh Pirates,Milwaukee Brewers,-0.13,-55,0.005,-0.013,1
St. Louis Cardinals,Miami Marlins,-0.03,-119,-0.048,0.008,1
Arizona Diamondbacks,Los Angeles Dodgers,-1.39,-29,-0.023,-0.012,0
Houston Astros,Detroit Tigers,0.18,30,0.021,0.02,1
Oakland Athletics,Cleveland Indians,-0.67,99,0.035,0.016,1
Seattle Mariners,Chicago Cubs,-0.85,32,-0.001,-0.003,0
